gene_model,gene_name,unique_gene_id
KH.C2.417,GNL1; GNL3L; GTPBP3,Cirobu.g00004613
KH.C2.418,FUCA1; FUCA2,Cirobu.g00004614
KH.C2.419,PSME1; PSME2; PSME3,Cirobu.g00004615
KH.C2.42,POU4F1; POU4F2; POU4F3,Cirobu.g00004616
KH.C2.420,EPB41L1; PTPN3; PTPN4,Cirobu.g00004617
KH.C2.421,BMP2; BMP3; GDF6,Cirobu.g00004618
KH.C2.422,PRICKLE1; PRICKLE2; TES,Cirobu.g00004619
KH.C2.423,ALG1; ALG1L; ALG1L2,Cirobu.g00004620
KH.C2.424,YWHAB; YWHAG; YWHAH,Cirobu.g00004621
KH.C2.425,PPP1R12A; PPP1R12B; PPP1R12C,Cirobu.g00004622
KH.C2.426,NAIP,Cirobu.g00004623
KH.C2.427,COLEC10; COLEC11; SFTPD,Cirobu.g00004624
KH.C2.428,KH.C2.428,Cirobu.g00004625
KH.C2.429,ERBIN; LRRIQ4; SCRIB,Cirobu.g00004626
KH.C2.43,PSMD10; ZDHHC13; ZDHHC17,Cirobu.g00004627
KH.C2.430,METTL18; METTL23,Cirobu.g00004628
KH.C2.431,ACOX1; ACOX2; ACOX3,Cirobu.g00004629
KH.C2.432,C11orf58,Cirobu.g00004630
KH.C2.433,GLP1R; GLP2R; PTH1R,Cirobu.g00004631
KH.C2.434,CYP7A1; CYP7B1; CYP8B1,Cirobu.g00004632
KH.C2.435,NUP210; NUP210L,Cirobu.g00004633
KH.C2.436,FUT8,Cirobu.g00004634
KH.C2.437,EVI5L; TBC1D1; TBC1D4,Cirobu.g00004635
KH.C2.438,PPIL1; PPIL3; PPIL4,Cirobu.g00004636
KH.C2.439,CRYZ; CRYZL1; TP53I3,Cirobu.g00004637
KH.C2.44,RRAGA; RRAGC; RRAGD,Cirobu.g00004638
KH.C2.441,RRM1,Cirobu.g00004639
KH.C2.442,SLC1A2; SLC1A3; SLC1A6,Cirobu.g00004640
KH.C2.443,KH.C2.443,Cirobu.g00004641
KH.C2.444,AGPAT4; AGPAT5; LCLAT1,Cirobu.g00004642
KH.C2.445,MCRIP1; MCRIP2,Cirobu.g00004643
KH.C2.446,GNPAT; GPAM; GPAT2,Cirobu.g00004644
KH.C2.447,HPD; HPDL,Cirobu.g00004645
KH.C2.448,PRSS8; ST14; TMPRSS11D,Cirobu.g00004646
KH.C2.449,RTF1,Cirobu.g00004647
KH.C2.45,TMEM144,Cirobu.g00004648
KH.C2.450,MRPL15,Cirobu.g00004649
KH.C2.451,KRAS; RRAS; RRAS2,Cirobu.g00004650
KH.C2.452,EIF2B5; GMPPA; GMPPB,Cirobu.g00004651
KH.C2.453,PRKG1; PRKG2; PRKX,Cirobu.g00004652
KH.C2.454,SLC22A16; SLC22A4; SLC22A5,Cirobu.g00004653
KH.C2.455,TPTE; TPTE2,Cirobu.g00004654
KH.C2.456,KH.C2.456,Cirobu.g00004655
KH.C2.457,KH.C2.457,Cirobu.g00004656
KH.C2.458,IGBP1,Cirobu.g00004657
KH.C2.459,KH.C2.459,Cirobu.g00004658
KH.C2.46,EIF2D; MCTS1,Cirobu.g00004659
KH.C2.460,KH.C2.460,Cirobu.g00004660
KH.C2.461,FJX1,Cirobu.g00004661
KH.C2.462,KH.C2.462,Cirobu.g00004662
KH.C2.463,ABHD11; EPHX4; PPME1,Cirobu.g00004663
KH.C2.464,KH.C2.464,Cirobu.g00004664
KH.C2.465,GSTM3; GSTM4; GSTM5,Cirobu.g00004665
KH.C2.466,FAM199X,Cirobu.g00004666
KH.C2.467,CELA2A; OVCH1; PRSS8,Cirobu.g00004667
KH.C2.468,JMJD6,Cirobu.g00004668
KH.C2.469,SFRP1; SFRP2; SFRP5,Cirobu.g00004669
KH.C2.47,KH.C2.47,Cirobu.g00004670
KH.C2.470,PKD1L2; PKD1L3; PKDREJ,Cirobu.g00004671
KH.C2.471,DDX17; DDX42; DDX5,Cirobu.g00004672
KH.C2.472,DNAJA3; DNAJC10; DNAJC12,Cirobu.g00004673
KH.C2.473,GALE; TGDS; UXS1,Cirobu.g00004674
KH.C2.474,PTPRA; PTPRE; PTPRF,Cirobu.g00004675
KH.C2.475,TRPV5; TRPV6,Cirobu.g00004676
KH.C2.476,CYP11A1; CYP11B2; CYP24A1,Cirobu.g00004677
KH.C2.477,DUOX1; DUOX2; NOX1,Cirobu.g00004678
KH.C2.478,KH.C2.478,Cirobu.g00004679
KH.C2.479,TSTD1,Cirobu.g00004680
KH.C2.48,KH.C2.48,Cirobu.g00004681
KH.C2.480,NR1H2; NR1H3; NR1H4,Cirobu.g00004682
KH.C2.481,SLC25A15; SLC25A2; SLC25A20,Cirobu.g00004683
KH.C2.482,CHRM2,Cirobu.g00004684
KH.C2.483,MFN1; MFN2,Cirobu.g00004685
KH.C2.484,KH.C2.484,Cirobu.g00004686
KH.C2.485,KH.C2.485,Cirobu.g00004687
KH.C2.486,NPC1; NPC1L1; PTCH1,Cirobu.g00004688
KH.C2.487,KH.C2.487,Cirobu.g00004689
KH.C2.488,PRELID1; PRELID3A; PRELID3B,Cirobu.g00004690
KH.C2.489,TAF11,Cirobu.g00004691
KH.C2.49,ZBTB20,Cirobu.g00004692
KH.C2.490,LYAR,Cirobu.g00004693
KH.C2.491,KH.C2.491,Cirobu.g00004694
KH.C2.492,EXT1; EXT2; EXTL1,Cirobu.g00004695
KH.C2.493,KH.C2.493,Cirobu.g00004696
KH.C2.494,PSMD13,Cirobu.g00004697
KH.C2.495,ASB11; ASB13; ASB5,Cirobu.g00004698
KH.C2.496,C7orf50,Cirobu.g00004699
KH.C2.497,WBP2; WBP2NL,Cirobu.g00004700
KH.C2.498,FICD; TMTC4,Cirobu.g00004701
KH.C2.499,NPC2,Cirobu.g00004702
KH.C2.5,ARAP1; ARAP2; ARAP3,Cirobu.g00004703
KH.C2.50,DHRS2; SPR,Cirobu.g00004704
KH.C2.500,KH.C2.500,Cirobu.g00004705
KH.C2.501,PCED1A; PCED1B,Cirobu.g00004706
KH.C2.502,ACHE; BCHE; CES2,Cirobu.g00004707
KH.C2.503,LOXL2; LOXL3; LOXL4,Cirobu.g00004708
KH.C2.504,LRIG2; LRIG3; LRRTM4,Cirobu.g00004709
KH.C2.505,C2orf68,Cirobu.g00004710
KH.C2.506,DHCR7; LBR; TM7SF2,Cirobu.g00004711
KH.C2.507,CTRB1; CTRB2; PRSS48,Cirobu.g00004712
KH.C2.508,KH.C2.508,Cirobu.g00004713
KH.C2.509,RAB26; RAB37; RAB8B,Cirobu.g00004714
KH.C2.51,AP002373.1; NCBP2; NCBP2L,Cirobu.g00004715
KH.C2.510,AC079447.1; AC092587.1; MRPL30,Cirobu.g00004716
KH.C2.511,POLR1C; POLR2C,Cirobu.g00004717
KH.C2.512,ASAP1; ASAP2; ASAP3,Cirobu.g00004718
KH.C2.513,KH.C2.513,Cirobu.g00004719
KH.C2.514,ENPP1; ENPP2; ENPP3,Cirobu.g00004720
KH.C2.515,SLC5A12; SLC5A8,Cirobu.g00004721
KH.C2.516,CACHD1; CACNA2D1; CACNA2D2,Cirobu.g00004722
KH.C2.517,KH.C2.517,Cirobu.g00004723
KH.C2.518,DNAJB2; DNAJB6; DNAJB8,Cirobu.g00004724
KH.C2.519,POMT1; POMT2,Cirobu.g00004725
KH.C2.52,KIAA0319; KIAA0319L; LRP11,Cirobu.g00004726
KH.C2.520,CWC22; NOM1,Cirobu.g00004727
KH.C2.521,SYTL2; SYTL3,Cirobu.g00004728
KH.C2.522,KH.C2.522,Cirobu.g00004729
KH.C2.523,NME1; NME1-NME2; NME2,Cirobu.g00004730
KH.C2.524,KH.C2.524,Cirobu.g00004731
KH.C2.525,HMMR; KIF15,Cirobu.g00004732
KH.C2.526,SLC32A1; SLC36A1; SLC36A2,Cirobu.g00004733
KH.C2.527,UBN1; UBN2,Cirobu.g00004734
KH.C2.528,ANAPC1,Cirobu.g00004735
KH.C2.529,KH.C2.529,Cirobu.g00004736
KH.C2.53,SELENON,Cirobu.g00004737
KH.C2.530,SMG5; SMG6; SMG7,Cirobu.g00004738
KH.C2.531,MICU1; MICU2; MICU3,Cirobu.g00004739
KH.C2.532,GLT1D1,Cirobu.g00004740
KH.C2.533,KH.C2.533,Cirobu.g00004741
KH.C2.534,CHIC1; CHIC2,Cirobu.g00004742
KH.C2.535,KH.C2.535,Cirobu.g00004743
KH.C2.536,KH.C2.536,Cirobu.g00004744
KH.C2.537,UBXN11,Cirobu.g00004745
KH.C2.538,KH.C2.538,Cirobu.g00004746
KH.C2.539,KH.C2.539,Cirobu.g00004747
KH.C2.54,ADRA1A; HRH2; HTR6,Cirobu.g00004748
KH.C2.540,KH.C2.540,Cirobu.g00004749
KH.C2.541,TMEM30A; TMEM30B,Cirobu.g00004750
KH.C2.542,CCR10; CCR4; CCR6,Cirobu.g00004751
KH.C2.543,PDE10A; PDE11A; PDE2A,Cirobu.g00004752
KH.C2.544,KH.C2.544,Cirobu.g00004753
KH.C2.545,PAH; TPH1; TPH2,Cirobu.g00004754
KH.C2.546,PFDN2,Cirobu.g00004755
KH.C2.547,ZFAND1; ZFAND2A; ZFAND2B,Cirobu.g00004756
KH.C2.548,EHD1; EHD3; EHD4,Cirobu.g00004757
KH.C2.549,AC068533.4; ASL,Cirobu.g00004758
KH.C2.55,ODF3; ODF3L1; ODF3L2,Cirobu.g00004759
KH.C2.550,POLR2D,Cirobu.g00004760
KH.C2.551,RPL31,Cirobu.g00004761
KH.C2.552,KH.C2.552,Cirobu.g00004762
KH.C2.553,KH.C2.553,Cirobu.g00004763
KH.C2.554,SRD5A1; SRD5A2; SRD5A3,Cirobu.g00004764
KH.C2.555,ST3GAL1; ST3GAL2; ST3GAL4,Cirobu.g00004765
KH.C2.556,SLC35A1; SLC35A2; SLC35A3,Cirobu.g00004766
KH.C2.557,CHM; CHML; GDI1,Cirobu.g00004767
KH.C2.558,KH.C2.558,Cirobu.g00004768
KH.C2.559,CACNA1A; SCN9A; TPCN1,Cirobu.g00004769
KH.C2.56,PCYOX1; PCYOX1L,Cirobu.g00004770
KH.C2.560,ASCL3; ASCL5; NEUROD1,Cirobu.g00004771
KH.C2.561,YWHAB; YWHAG; YWHAQ,Cirobu.g00004772
KH.C2.562,BMPER; KCP; SSPO,Cirobu.g00004773
KH.C2.563,KH.C2.563,Cirobu.g00004774
KH.C2.564,KH.C2.564,Cirobu.g00004775
KH.C2.565,SPCS3,Cirobu.g00004776
KH.C2.566,ABCB1; ABCB4; ABCB5,Cirobu.g00004777
KH.C2.567,TBC1D8B; TBC1D9; TBC1D9B,Cirobu.g00004778
KH.C2.568,BMP8A; GDF2; GDF5,Cirobu.g00004779
KH.C2.569,ADRA1A; GHSR; NTSR1,Cirobu.g00004780
KH.C2.57,YTHDF1; YTHDF2; YTHDF3,Cirobu.g00004781
KH.C2.570,PTPRA; PTPRC; PTPRE,Cirobu.g00004782
KH.C2.571,BEST2; BEST3; BEST4,Cirobu.g00004783
KH.C2.572,KLRB1,Cirobu.g00004784
KH.C2.573,SMAD1; SMAD5; SMAD9,Cirobu.g00004785
KH.C2.574,KH.C2.574,Cirobu.g00004786
KH.C2.575,CDH24; UQCRQ,Cirobu.g00004787
KH.C2.576,KH.C2.576,Cirobu.g00004788
KH.C2.577,KH.C2.577,Cirobu.g00004789
KH.C2.578,HERC1; IBTK,Cirobu.g00004790
KH.C2.579,SRSF12; SRSF3; SRSF7,Cirobu.g00004791
KH.C2.58,NEK1; NEK3; NEK5,Cirobu.g00004792
KH.C2.580,KH.C2.580,Cirobu.g00004793
KH.C2.581,KH.C2.581,Cirobu.g00004794
KH.C2.582,C7orf25,Cirobu.g00004795
KH.C2.583,DPF1; DPF2; PHF10,Cirobu.g00004796
KH.C2.584,WNT3A; WNT4; WNT7B,Cirobu.g00004797
KH.C2.585,MTERF3; MTERF4,Cirobu.g00004798
KH.C2.586,KH.C2.586,Cirobu.g00004799
KH.C2.587,MTCH1; MTCH2; SLC25A19,Cirobu.g00004800
KH.C2.588,GNS; SULF1; SULF2,Cirobu.g00004801
KH.C2.589,KH.C2.589,Cirobu.g00004802
KH.C2.59,ABCD1; ABCD2; ABCD3,Cirobu.g00004803
KH.C2.590,MTBP,Cirobu.g00004804
KH.C2.591,FAXDC2; MSMO1; SC5D,Cirobu.g00004805
KH.C2.592,HACL1; ILVBL,Cirobu.g00004806
KH.C2.593,H1F0; H1FX; HIST1H1T,Cirobu.g00004807
KH.C2.594,KH.C2.594,Cirobu.g00004808
KH.C2.595,ARHGAP18; ARHGAP28; ARHGAP40,Cirobu.g00004809
KH.C2.596,PCTP; STARD10; STARD7,Cirobu.g00004810
KH.C2.597,KH.C2.597,Cirobu.g00004811
KH.C2.598,BIVM-ERCC5; FEN1; GEN1,Cirobu.g00004812
KH.C2.599,FOLR2; FOLR3; IZUMO1R,Cirobu.g00004813
KH.C2.6,STX1A; STX1B; STX2,Cirobu.g00004814
KH.C2.60,DHRS7; DHRS7B; KDSR,Cirobu.g00004815
KH.C2.600,HIF1AN; HSPBAP1; KDM8,Cirobu.g00004816
KH.C2.601,GPSM2; TTC28; TTC29,Cirobu.g00004817
KH.C2.602,FAXDC2; MSMO1; SC5D,Cirobu.g00004818
KH.C2.603,NDST1; NDST2; NDST3,Cirobu.g00004819
KH.C2.604,KH.C2.604,Cirobu.g00004820
KH.C2.605,HHIP; HHIPL1; HHIPL2,Cirobu.g00004821
KH.C2.606,EIF2S1,Cirobu.g00004822
KH.C2.607,SH3BP5; SH3BP5L,Cirobu.g00004823
KH.C2.608,TRAPPC2; TRAPPC2B; TRAPPC2L,Cirobu.g00004824
KH.C2.609,PTTG1IP,Cirobu.g00004825
KH.C2.61,SRD5A1; SRD5A2; SRD5A3,Cirobu.g00004826
KH.C2.610,DHRS2; DHRS4; HSD17B14,Cirobu.g00004827
KH.C2.611,CRISP2; GLIPR2; PI16,Cirobu.g00004828
KH.C2.612,SLC3A1; SLC3A2,Cirobu.g00004829
KH.C2.613,SLC30A9; XPA,Cirobu.g00004830
KH.C2.614,ADA; ADA2; ADAL,Cirobu.g00004831
KH.C2.615,KIF3A; KIF3B; KIFC3,Cirobu.g00004832
KH.C2.616,EIF2AK4; HARS; HARS2,Cirobu.g00004833
KH.C2.617,KH.C2.617,Cirobu.g00004834
KH.C2.618,GSPT1; GSPT2; HBS1L,Cirobu.g00004835
KH.C2.619,KH.C2.619,Cirobu.g00004836
KH.C2.62,MGAT4A; MGAT4B; MGAT4D,Cirobu.g00004837
KH.C2.620,EIF2AK1; EIF2AK2; EIF2AK3,Cirobu.g00004838
KH.C2.621,FAM8A1,Cirobu.g00004839
KH.C2.622,KH.C2.622,Cirobu.g00004840
KH.C2.623,CPVL; CTSA; SCPEP1,Cirobu.g00004841
KH.C2.624,PTPRD; PTPRG; PTPRZ1,Cirobu.g00004842
KH.C2.625,KH.C2.625,Cirobu.g00004843
KH.C2.626,GDE1; GDPD1; GDPD2,Cirobu.g00004844
KH.C2.627,THEG; THEGL,Cirobu.g00004845
KH.C2.628,DAPK1; DAPK2; DAPK3,Cirobu.g00004846
KH.C2.629,FAM167A; FAM167B,Cirobu.g00004847
KH.C2.63,KH.C2.63,Cirobu.g00004848
KH.C2.630,CTU1,Cirobu.g00004849
KH.C2.631,RPL30,Cirobu.g00004850
KH.C2.632,CSTF3; PRPF39; SART3,Cirobu.g00004851
KH.C2.633,DDX17; DDX42; DDX46,Cirobu.g00004852
KH.C2.634,ACY3; ASPA,Cirobu.g00004853
KH.C2.635,KH.C2.635,Cirobu.g00004854
KH.C2.636,KH.C2.636,Cirobu.g00004855
KH.C2.637,B3GALT1; B3GALT5; B3GNT5,Cirobu.g00004856
KH.C2.638,MOV10; MOV10L1; UPF1,Cirobu.g00004857
KH.C2.639,ZNF345; ZNF77; ZNF791,Cirobu.g00004858
KH.C2.64,SLC6A12; SLC6A13; SLC6A6,Cirobu.g00004859
KH.C2.640,SRD5A2; TECR; TECRL,Cirobu.g00004860
KH.C2.641,PLBD1; PLBD2,Cirobu.g00004861
KH.C2.642,KH.C2.642,Cirobu.g00004862
KH.C2.643,ADRM1,Cirobu.g00004863
KH.C2.644,NPTX1; NPTX2; NPTXR,Cirobu.g00004864
KH.C2.645,SLC6A15; SLC6A17; SLC6A18,Cirobu.g00004865
KH.C2.646,KH.C2.646,Cirobu.g00004866
KH.C2.648,DAPP1; PREX1; PREX2,Cirobu.g00004867
KH.C2.649,COL12A1; COL14A1; COL6A3,Cirobu.g00004868
KH.C2.65,LRRC74A; LRRC74B; NLRC3,Cirobu.g00004869
KH.C2.650,FBN1; FBN2; FBN3,Cirobu.g00004870
KH.C2.651,ARHGAP36; ARHGAP6; FAM13A,Cirobu.g00004871
KH.C2.652,CKAP2; CKAP2L,Cirobu.g00004872
KH.C2.653,MIPOL1,Cirobu.g00004873
KH.C2.654,DHX29; DHX36; DHX57,Cirobu.g00004874
KH.C2.655,TMTC1; TMTC3; TMTC4,Cirobu.g00004875
KH.C2.656,CYP4F12; CYP4F3; CYP4V2,Cirobu.g00004876
KH.C2.657,KH.C2.657,Cirobu.g00004877
KH.C2.658,KH.C2.658,Cirobu.g00004878
KH.C2.659,CNBP; ZCCHC13; ZCCHC7,Cirobu.g00004879
KH.C2.66,FBXL14; FBXL2; FBXL20,Cirobu.g00004880
KH.C2.660,NRXN2; NRXN3; PTGS2,Cirobu.g00004881
KH.C2.661,SLC34A1; SLC34A2; SLC34A3,Cirobu.g00004882
KH.C2.662,LRPPRC,Cirobu.g00004883
KH.C2.663,SLC22A1; SLC22A4; SLC22A5,Cirobu.g00004884
KH.C2.664,KH.C2.664,Cirobu.g00004885
KH.C2.665,LIN7A; LIN7B; PDZD11,Cirobu.g00004886
KH.C2.666,KH.C2.666,Cirobu.g00004887
KH.C2.667,FN1,Cirobu.g00004888
KH.C2.668,SLC38A1; SLC38A9; TMEM104,Cirobu.g00004889
KH.C2.669,OTUD7A; TNFAIP3; VCPIP1,Cirobu.g00004890
KH.C2.67,GGACT,Cirobu.g00004891
KH.C2.670,DARS; NARS; NARS2,Cirobu.g00004892
KH.C2.671,C4orf45,Cirobu.g00004893
KH.C2.672,HNRNPK; PCBP2; PCBP3,Cirobu.g00004894
KH.C2.673,GLRX; GLRX2; TXNRD3,Cirobu.g00004895
KH.C2.674,GUCY1A1; GUCY1A2; GUCY1B1,Cirobu.g00004896
KH.C2.675,CCDC12,Cirobu.g00004897
KH.C2.676,ARHGEF10; ARHGEF17,Cirobu.g00004898
KH.C2.677,MTBP,Cirobu.g00004899
KH.C2.678,PKD1L2; PKD2; PKD2L1,Cirobu.g00004900
KH.C2.679,KH.C2.679,Cirobu.g00004901
KH.C2.68,KH.C2.68,Cirobu.g00004902
KH.C2.680,KH.C2.680,Cirobu.g00004903
KH.C2.681,KH.C2.681,Cirobu.g00004904
KH.C2.682,AXDND1; DNALI1,Cirobu.g00004905
KH.C2.683,AGO1; AGO2; AGO3,Cirobu.g00004906
KH.C2.685,CLIP1; CLIP2; DCTN1,Cirobu.g00004907
KH.C2.686,ZDHHC16; ZDHHC3; ZDHHC6,Cirobu.g00004908
KH.C2.687,NR1I2; NR1I3; VDR,Cirobu.g00004909
KH.C2.688,KH.C2.688,Cirobu.g00004910
KH.C2.689,SQSTM1,Cirobu.g00004911
KH.C2.69,AQP1; AQP4; MIP,Cirobu.g00004912
KH.C2.690,TMEM41A; TMEM41B,Cirobu.g00004913
KH.C2.692,SUPT20H,Cirobu.g00004914
KH.C2.693,RPS3A,Cirobu.g00004915
KH.C2.694,GP2; TECTA; UMOD,Cirobu.g00004916
KH.C2.695,CLPS; CLPSL1,Cirobu.g00004917
KH.C2.696,CHST10; CHST11; CHST12,Cirobu.g00004918
KH.C2.697,KH.C2.697,Cirobu.g00004919
KH.C2.698,CPSF2; CPSF3; INTS9,Cirobu.g00004920
KH.C2.699,SLX4,Cirobu.g00004921
KH.C2.7,KH.C2.7,Cirobu.g00004922
KH.C2.70,ILKAP; PPM1D; PPM1L,Cirobu.g00004923
KH.C2.700,FUT3; FUT5; FUT6,Cirobu.g00004924
KH.C2.701,FAM96A; FAM96B,Cirobu.g00004925
KH.C2.702,ARHGAP1; ARHGAP8; PRR5-ARHGAP8,Cirobu.g00004926
KH.C2.703,BMP1; CUBN; TLL2,Cirobu.g00004927
KH.C2.704,BMP1; CUBN; TLL1,Cirobu.g00004928
KH.C2.705,DAGLA; DAGLB,Cirobu.g00004929
KH.C2.707,KH.C2.707,Cirobu.g00004930
KH.C2.708,DYM; HID1,Cirobu.g00004931
KH.C2.709,KH.C2.709,Cirobu.g00004932
KH.C2.71,SNX32; SNX5; SNX6,Cirobu.g00004933
KH.C2.710,MDN1,Cirobu.g00004934
KH.C2.711,KH.C2.711,Cirobu.g00004935
KH.C2.712,CHCHD1,Cirobu.g00004936
KH.C2.713,KH.C2.713,Cirobu.g00004937
KH.C2.714,DCAF13; KATNB1; POC1B,Cirobu.g00004938
KH.C2.715,KH.C2.715,Cirobu.g00004939
KH.C2.716,CORO7-PAM16; PAM16,Cirobu.g00004940
KH.C2.717,ADRB2; DRD5; GHSR,Cirobu.g00004941
KH.C2.718,TBC1D15; TBC1D17; TBC1D25,Cirobu.g00004942
KH.C2.719,USP22; USP27X; USP51,Cirobu.g00004943
KH.C2.72,ADAM10; ADAM17; ADAM21,Cirobu.g00004944
KH.C2.720,KH.C2.720,Cirobu.g00004945
KH.C2.721,LACTB; LACTBL1,Cirobu.g00004946
KH.C2.722,RGN,Cirobu.g00004947
KH.C2.723,AC011499.1; DUS1L; DUS3L,Cirobu.g00004948
KH.C2.724,CAPN12; CAPN15,Cirobu.g00004949
KH.C2.725,RBPJ; RBPJL,Cirobu.g00004950
KH.C2.726,KH.C2.726,Cirobu.g00004951
KH.C2.727,HEATR4,Cirobu.g00004952
KH.C2.728,DDX27; DDX47; DDX56,Cirobu.g00004953
KH.C2.729,ARFGEF1; ARFGEF2; FBXO8,Cirobu.g00004954
KH.C2.73,NKAIN1; NKAIN2; NKAIN3,Cirobu.g00004955
KH.C2.730,RNF130; RNF149; RNF150,Cirobu.g00004956
KH.C2.731,GP2; TECTA; UMOD,Cirobu.g00004957
KH.C2.732,KH.C2.732,Cirobu.g00004958
KH.C2.733,KH.C2.733,Cirobu.g00004959
KH.C2.734,SYT1; SYT2; SYT7,Cirobu.g00004960
KH.C2.735,GCNT1; GCNT3; GCNT4,Cirobu.g00004961
KH.C2.736,KH.C2.736,Cirobu.g00004962
KH.C2.737,MAP2K1; MAP2K2; TSSK6,Cirobu.g00004963
KH.C2.738,CWH43,Cirobu.g00004964
KH.C2.739,KCNQ3; KCNQ4; KCNQ5,Cirobu.g00004965
KH.C2.74,SLC16A1; SLC16A4; SLC16A7,Cirobu.g00004966
KH.C2.740,KH.C2.740,Cirobu.g00004967
KH.C2.741,EPB41L4A; EPB41L4B; EPB41L5,Cirobu.g00004968
KH.C2.742,KH.C2.742,Cirobu.g00004969
KH.C2.743,GLIPR1; GLIPR1L1; GLIPR2,Cirobu.g00004970
KH.C2.744,RPL21,Cirobu.g00004971
KH.C2.745,KH.C2.745,Cirobu.g00004972
KH.C2.746,ZNRD1,Cirobu.g00004973
KH.C2.747,PIGA,Cirobu.g00004974
KH.C2.748,KH.C2.748,Cirobu.g00004975
KH.C2.749,HACE1; HUWE1; UBR5,Cirobu.g00004976
KH.C2.75,IGF1; IGF2; INS,Cirobu.g00004977
KH.C2.750,CNOT11,Cirobu.g00004978
KH.C2.751,LIN9,Cirobu.g00004979
KH.C2.752,KH.C2.752,Cirobu.g00004980
KH.C2.753,KH.C2.753,Cirobu.g00004981
KH.C2.754,AASDH,Cirobu.g00004982
KH.C2.755,KH.C2.755,Cirobu.g00004983
KH.C2.757,TRPC3; TRPC6; TRPC7,Cirobu.g00004984
KH.C2.758,CAMK2A; CAMK2D; CAMK2G,Cirobu.g00004985
KH.C2.759,AC005041.1,Cirobu.g00004986
KH.C2.76,ARL5B; GEM; RAP1A,Cirobu.g00004987
KH.C2.760,KH.C2.760,Cirobu.g00004988
KH.C2.761,CERS2; CERS4; CERS6,Cirobu.g00004989
KH.C2.762,FO681492.1; SYT15; SYT9,Cirobu.g00004990
KH.C2.763,BLOC1S5; BLOC1S5-TXNDC5,Cirobu.g00004991
KH.C2.764,SNX13; SNX14; SNX25,Cirobu.g00004992
KH.C2.765,PCLO; RIMS1; RIMS2,Cirobu.g00004993
KH.C2.766,CNOT2; CNOT3,Cirobu.g00004994
KH.C2.767,ADRB1; ADRB2; ADRB3,Cirobu.g00004995
KH.C2.768,CAMK1G; CAMK4; CHEK2,Cirobu.g00004996
KH.C2.769,KH.C2.769,Cirobu.g00004997
KH.C2.77,RPL7; RPL7L1,Cirobu.g00004998
KH.C2.771,EFHC1; EFHC2,Cirobu.g00004999
KH.C2.772,KH.C2.772,Cirobu.g00005000
KH.C2.773,KH.C2.773,Cirobu.g00005001
KH.C2.774,CNBD2; RAPGEF3; RAPGEF4,Cirobu.g00005002
KH.C2.775,USP40; USP47; USP7,Cirobu.g00005003
KH.C2.776,FSD1L; MID1; MID2,Cirobu.g00005004
KH.C2.777,DBH; MOXD1; PAM,Cirobu.g00005005
KH.C2.778,MLF1; MLF2,Cirobu.g00005006
KH.C2.779,ACP2; ACP4; ACPP,Cirobu.g00005007
KH.C2.78,SCOC,Cirobu.g00005008
KH.C2.780,SRSF4; SRSF5; SRSF6,Cirobu.g00005009
KH.C2.781,NFX1; NFXL1,Cirobu.g00005010
KH.C2.782,LPCAT3; MBOAT1; MBOAT2,Cirobu.g00005011
KH.C2.783,C8orf34,Cirobu.g00005012
KH.C2.784,KH.C2.784,Cirobu.g00005013
KH.C2.785,FLRT1; VASN,Cirobu.g00005014
KH.C2.786,DCXR; DHRS2; DHRS4,Cirobu.g00005015
KH.C2.787,KH.C2.787,Cirobu.g00005016
KH.C2.788,KH.C2.788,Cirobu.g00005017
KH.C2.789,ANAPC10; HECTD3; ZZEF1,Cirobu.g00005018
KH.C2.79,SYTL1; SYTL4; SYTL5,Cirobu.g00005019
KH.C2.790,RBM42; TIA1; TIAL1,Cirobu.g00005020
KH.C2.791,TTC28,Cirobu.g00005021
KH.C2.792,CHST1; CHST3; CHST4,Cirobu.g00005022
KH.C2.793,RABGAP1; TBC1D12; TBCK,Cirobu.g00005023
KH.C2.794,KH.C2.794,Cirobu.g00005024
KH.C2.795,POLR2L,Cirobu.g00005025
KH.C2.796,KH.C2.796,Cirobu.g00005026
KH.C2.797,KH.C2.797,Cirobu.g00005027
KH.C2.798,ACER1; ACER2; ACER3,Cirobu.g00005028
KH.C2.799,EIF2B1; EIF2B2; EIF2B4,Cirobu.g00005029
KH.C2.8,KH.C2.8,Cirobu.g00005030
KH.C2.80,KH.C2.80,Cirobu.g00005031
KH.C2.800,FGFR1; FGFR2; FGFR3,Cirobu.g00005032
KH.C2.801,KIF3A; KIFC1; KIFC3,Cirobu.g00005033
KH.C2.802,KH.C2.802,Cirobu.g00005034
KH.C2.803,CLCA1; CLCA4; ITIH3,Cirobu.g00005035
KH.C2.804,SLC6A1; SLC6A11; SLC6A13,Cirobu.g00005036
KH.C2.805,KH.C2.805,Cirobu.g00005037
KH.C2.806,C2CD3,Cirobu.g00005038
KH.C2.807,KH.C2.807,Cirobu.g00005039
KH.C2.808,EARS2; EPRS; QARS,Cirobu.g00005040
KH.C2.809,CYP27B1,Cirobu.g00005041
KH.C2.81,ALDH16A1; ALDH1A3; ALDH2,Cirobu.g00005042
KH.C2.810,SERINC1; SERINC2; SERINC3,Cirobu.g00005043
KH.C2.811,SLC22A1; SVOP; SVOPL,Cirobu.g00005044
KH.C2.812,ARHGAP22; PLEKHB1; PLEKHB2,Cirobu.g00005045
KH.C2.813,KH.C2.813,Cirobu.g00005046
